order_id,order_date,customer_id,product_id,payment_id,channel,payment_method,quantity,unit_price,discount,net_sales
ORD000062,2026-01-09 13:10:00,C0036,P020,PAY000062,Marketplace,PromptPay,3,499.0,0.0,1497.0
ORD000063,2026-01-08 01:20:00,C0034,P025,PAY000063,Marketplace,Credit Card,3,27195.0,0.0,81585.0
ORD000064,2026-01-07 21:17:00,C0152,P014,PAY000064,Web,Credit Card,1,1039.5,0.1,935.55
ORD000065,2026-01-20 12:44:00,C0160,P031,PAY000065,Web,Bank Transfer,3,1490.0,0.0,4470.0
ORD000067,2026-01-11 23:34:00,C0125,P035,PAY000067,Mobile App,Credit Card,1,25900.0,0.0,25900.0
ORD000068,2026-01-15 21:59:00,C0052,P039,PAY000068,Mobile App,PromptPay,1,940.5,0.05,893.47
ORD000069,2026-01-09 12:18:00,C0081,P039,PAY000069,Web,Credit Card,1,1039.5,0.0,1039.5
ORD000070,2026-01-28 09:39:00,C0069,P014,PAY000070,Marketplace,Bank Transfer,4,1039.5,0.0,4158.0
ORD000071,2026-01-01 22:56:00,C0021,P008,PAY000071,Web,Credit Card,1,523.95,0.0,523.95
ORD000072,2026-01-24 22:09:00,C0028,P032,PAY000072,Mobile App,Credit Card,4,23310.0,0.05,88578.0
ORD000073,2026-01-13 05:31:00,C0009,P022,PAY000073,Web,Credit Card,1,474.05,0.0,474.05
ORD000074,2026-01-17 10:33:00,C0110,P031,PAY000074,Marketplace,Credit Card,4,1490.0,0.0,5960.0
ORD000075,2026-01-22 08:13:00,C0039,P007,PAY000075,Web,Credit Card,2,24605.0,0.05,46749.5
ORD000077,2026-01-08 04:24:00,C0143,P026,PAY000077,Web,PromptPay,2,12255.0,0.0,24510.0
ORD000078,2026-01-22 17:21:00,C0070,P017,PAY000078,Marketplace,Bank Transfer,1,1039.5,0.05,987.52
ORD000079,2026-01-05 10:50:00,C0005,P037,PAY000079,Mobile App,Bank Transfer,1,25900.0,0.1,23310.0
ORD000080,2026-01-28 17:30:00,C0008,P019,PAY000080,Marketplace,Bank Transfer,3,4189.5,0.05,11940.08
ORD000081,2026-01-11 02:57:00,C0061,P018,PAY000081,Web,Credit Card,4,3591.0,0.0,14364.0
ORD000082,2026-01-21 18:06:00,C0147,P020,PAY000082,Marketplace,PromptPay,2,474.05,0.1,853.29
ORD000083,2026-01-17 01:19:00,C0070,P021,PAY000083,Web,PromptPay,1,25900.0,0.0,25900.0
ORD000084,2026-01-27 07:52:00,C0132,P026,PAY000084,Web,PromptPay,1,11610.0,0.0,11610.0
ORD000085,2026-01-20 05:05:00,C0145,P003,PAY000085,Mobile App,Credit Card,2,24605.0,0.0,49210.0
ORD000086,2026-01-22 09:30:00,C0038,P015,PAY000086,Web,Bank Transfer,4,269.1,0.0,1076.4
ORD000087,2026-01-25 05:31:00,C0068,P001,PAY000087,Web,Credit Card,3,299.0,0.0,897.0
ORD000088,2026-01-28 21:16:00,C0118,P024,PAY000088,Web,PromptPay,2,284.05,0.1,511.29
ORD000089,2026-01-26 04:55:00,C0070,P026,PAY000089,Web,PromptPay,1,12900.0,0.0,12900.0
ORD000090,2026-01-19 00:37:00,C0083,P038,PAY000090,Marketplace,Bank Transfer,1,12900.0,0.0,12900.0
ORD000091,2026-01-18 10:20:00,C0156,P037,PAY000091,Mobile App,PromptPay,1,25900.0,0.05,24605.0
ORD000092,2026-01-16 20:33:00,C0086,P006,PAY000092,Web,Credit Card,1,313.95,0.0,313.95
ORD000094,2026-01-05 03:21:00,C0014,P012,PAY000094,Marketplace,Bank Transfer,1,1039.5,0.1,935.55
ORD000095,2026-01-01 19:36:00,C0062,P020,PAY000095,Web,Credit Card,2,499.0,0.0,998.0
ORD000096,2026-01-26 20:50:00,C0090,P024,PAY000096,Mobile App,Credit Card,2,284.05,0.0,568.1
ORD000097,2026-01-16 01:11:00,C0008,P009,PAY000097,Marketplace,PromptPay,4,299.0,0.0,1196.0
ORD000098,2026-01-14 04:53:00,C0099,P016,PAY000098,Marketplace,Credit Card,2,1490.0,0.1,2682.0
ORD000099,2026-01-24 06:51:00,C0136,P039,PAY000099,Mobile App,PromptPay,3,1039.5,0.0,3118.5
ORD000100,2026-01-05 13:19:00,C0014,P038,PAY000100,Mobile App,Bank Transfer,2,13545.0,0.0,27090.0
ORD000102,2026-01-05 07:29:00,C0078,P002,PAY000102,Mobile App,Bank Transfer,4,1341.0,0.05,5095.8
ORD000103,2026-01-11 07:18:00,C0079,P014,PAY000103,Web,Credit Card,1,940.5,0.1,846.45
ORD000104,2026-01-13 17:48:00,C0157,P036,PAY000104,Marketplace,Credit Card,2,299.0,0.1,538.2
ORD000105,2026-01-07 02:25:00,C0099,P002,PAY000105,Mobile App,Credit Card,2,1341.0,0.1,2413.8
ORD000107,2026-01-23 21:07:00,C0065,P023,PAY000107,Web,Credit Card,2,299.0,0.0,598.0
ORD000108,2026-01-17 22:05:00,C0138,P029,PAY000108,Web,Credit Card,4,3990.0,0.0,15960.0
ORD000109,2026-01-19 03:38:00,C0140,P033,PAY000109,Web,Credit Card,1,13545.0,0.0,13545.0
ORD000110,2026-01-27 22:29:00,C0066,P002,PAY000110,Marketplace,PromptPay,3,1341.0,0.0,4023.0
ORD000111,2026-01-04 17:27:00,C0146,P008,PAY000111,Mobile App,Credit Card,3,449.1,0.0,1347.3
ORD000113,2026-01-03 06:56:00,C0024,P027,PAY000113,Mobile App,Bank Transfer,3,24605.0,0.0,73815.0
ORD000114,2026-01-01 13:09:00,C0050,P014,PAY000114,Web,PromptPay,3,1039.5,0.0,3118.5
ORD000115,2026-01-21 07:56:00,C0085,P009,PAY000115,Mobile App,Bank Transfer,4,313.95,0.0,1255.8
ORD000116,2026-01-24 08:29:00,C0073,P002,PAY000116,Web,Bank Transfer,4,1341.0,0.0,5364.0
ORD000117,2026-01-09 09:51:00,C0012,P016,PAY000117,Marketplace,Bank Transfer,1,1415.5,0.0,1415.5
ORD000118,2026-01-21 07:02:00,C0075,P025,PAY000118,Web,Bank Transfer,1,23310.0,0.05,22144.5
ORD000119,2026-01-25 09:48:00,C0007,P022,PAY000119,Web,Bank Transfer,1,449.1,0.0,449.1
ORD000120,2026-01-15 14:33:00,C0092,P020,PAY000120,Web,PromptPay,4,499.0,0.0,1996.0
ORD000122,2026-01-08 11:24:00,C0051,P010,PAY000122,Mobile App,PromptPay,3,891.0,0.1,2405.7
ORD000123,2026-01-08 18:25:00,C0035,P024,PAY000123,Mobile App,Bank Transfer,1,313.95,0.0,313.95
ORD000124,2026-01-15 01:56:00,C0012,P007,PAY000124,Web,PromptPay,1,27195.0,0.05,25835.25
ORD000125,2026-01-24 01:22:00,C0155,P003,PAY000125,Web,PromptPay,1,25900.0,0.0,25900.0
ORD000126,2026-01-03 20:15:00,C0056,P022,PAY000126,Marketplace,Credit Card,1,523.95,0.05,497.75
ORD000127,2026-01-27 13:30:00,C0060,P040,PAY000127,Mobile App,Bank Transfer,3,3790.5,0.05,10802.92
ORD000128,2026-01-13 09:03:00,C0138,P012,PAY000128,Mobile App,Credit Card,3,940.5,0.0,2821.5
ORD000129,2026-01-24 16:44:00,C0098,P031,PAY000129,Mobile App,PromptPay,1,1490.0,0.0,1490.0
ORD000131,2026-01-03 03:34:00,C0101,P010,PAY000131,Marketplace,Bank Transfer,2,891.0,0.05,1692.9
ORD000132,2026-01-28 02:40:00,C0146,P022,PAY000132,Marketplace,Credit Card,1,523.95,0.1,471.56
ORD000133,2026-01-11 15:42:00,C0078,P008,PAY000133,Marketplace,Credit Card,3,449.1,0.0,1347.3
ORD000134,2026-01-08 15:18:00,C0007,P018,PAY000134,Marketplace,Bank Transfer,2,3591.0,0.05,6822.9
ORD000135,2026-01-15 04:33:00,C0076,P027,PAY000135,Mobile App,Credit Card,2,25900.0,0.05,49210.0
ORD000136,2026-01-18 05:28:00,C0052,P003,PAY000136,Mobile App,PromptPay,2,25900.0,0.0,51800.0
ORD000137,2026-01-07 00:33:00,C0003,P039,PAY000137,Marketplace,PromptPay,2,990.0,0.05,1881.0
ORD000138,2026-01-08 13:50:00,C0145,P030,PAY000138,Mobile App,Credit Card,1,474.05,0.1,426.65
ORD000139,2026-01-05 03:18:00,C0075,P016,PAY000139,Web,Credit Card,1,1490.0,0.0,1490.0
ORD000140,2026-01-04 00:24:00,C0132,P023,PAY000140,Marketplace,Credit Card,1,269.1,0.05,255.64
ORD000141,2026-01-14 11:29:00,C0069,P011,PAY000141,Web,Credit Card,2,23310.0,0.0,46620.0
ORD000143,2026-01-18 23:04:00,C0133,P007,PAY000143,Web,Credit Card,1,25900.0,0.05,24605.0
ORD000145,2026-01-11 18:33:00,C0142,P009,PAY000145,Web,Credit Card,1,313.95,0.1,282.56
ORD000146,2026-01-13 00:04:00,C0096,P023,PAY000146,Marketplace,Bank Transfer,1,299.0,0.0,299.0
ORD000147,2026-01-24 10:34:00,C0114,P001,PAY000147,Marketplace,Bank Transfer,1,299.0,0.0,299.0
ORD000149,2026-01-04 10:57:00,C0033,P028,PAY000149,Mobile App,Bank Transfer,1,299.0,0.05,284.05
ORD000150,2026-01-11 10:12:00,C0067,P033,PAY000150,Mobile App,Bank Transfer,2,12900.0,0.0,25800.0
ORD000151,2026-01-06 02:33:00,C0004,P036,PAY000151,Mobile App,Credit Card,1,269.1,0.0,269.1
ORD000152,2026-01-20 15:01:00,C0026,P040,PAY000152,Marketplace,Bank Transfer,2,3990.0,0.0,7980.0
ORD000153,2026-01-08 04:09:00,C0120,P011,PAY000153,Mobile App,Credit Card,1,25900.0,0.0,25900.0
ORD000154,2026-01-04 03:08:00,C0047,P009,PAY000154,Marketplace,PromptPay,4,299.0,0.0,1196.0
ORD000155,2026-01-19 06:03:00,C0130,P014,PAY000155,Web,PromptPay,4,990.0,0.0,3960.0
ORD000156,2026-01-07 14:35:00,C0014,P001,PAY000156,Marketplace,PromptPay,2,269.1,0.0,538.2
ORD000157,2026-01-13 09:28:00,C0054,P024,PAY000157,Marketplace,Credit Card,1,299.0,0.0,299.0
ORD000158,2026-01-14 21:41:00,C0073,P027,PAY000158,Web,Bank Transfer,1,23310.0,0.05,22144.5
ORD000159,2026-01-08 21:42:00,C0141,P006,PAY000159,Mobile App,Credit Card,1,284.05,0.05,269.85
ORD000160,2026-01-15 17:15:00,C0059,P014,PAY000160,Mobile App,Credit Card,2,990.0,0.0,1980.0
ORD000161,2026-01-11 15:47:00,C0092,P012,PAY000161,Mobile App,Bank Transfer,1,891.0,0.05,846.45
ORD000162,2026-01-24 04:41:00,C0130,P002,PAY000162,Mobile App,Credit Card,2,1415.5,0.05,2689.45
ORD000163,2026-01-24 22:34:00,C0093,P037,PAY000163,Marketplace,PromptPay,1,24605.0,0.1,22144.5
ORD000164,2026-01-06 04:10:00,C0112,P033,PAY000164,Marketplace,Credit Card,3,11610.0,0.0,34830.0
ORD000165,2026-01-26 09:37:00,C0002,P024,PAY000165,Marketplace,PromptPay,1,299.0,0.0,299.0
ORD000166,2026-01-05 14:37:00,C0001,P027,PAY000166,Web,Bank Transfer,3,27195.0,0.0,81585.0
ORD000168,2026-01-10 11:34:00,C0004,P019,PAY000168,Marketplace,Credit Card,3,3990.0,0.0,11970.0
ORD000169,2026-01-23 15:45:00,C0073,P018,PAY000169,Marketplace,Bank Transfer,1,3591.0,0.1,3231.9
ORD000170,2026-01-18 21:15:00,C0004,P020,PAY000170,Marketplace,Bank Transfer,1,499.0,0.0,499.0
ORD000171,2026-01-26 20:58:00,C0160,P010,PAY000171,Web,Credit Card,2,891.0,0.0,1782.0
ORD000172,2026-01-20 16:52:00,C0028,P034,PAY000172,Mobile App,PromptPay,1,299.0,0.1,269.1
ORD000173,2026-01-03 06:14:00,C0137,P007,PAY000173,Marketplace,Credit Card,3,27195.0,0.0,81585.0
ORD000174,2026-01-28 23:11:00,C0075,P018,PAY000174,Marketplace,Credit Card,4,3990.0,0.05,15162.0
ORD000175,2026-01-26 17:56:00,C0088,P004,PAY000175,Marketplace,Credit Card,3,1564.5,0.0,4693.5
ORD000176,2026-01-21 02:49:00,C0120,P025,PAY000176,Mobile App,Credit Card,2,27195.0,0.0,54390.0
ORD000177,2026-01-04 02:29:00,C0015,P027,PAY000177,Mobile App,Credit Card,2,23310.0,0.05,44289.0
ORD000178,2026-01-26 22:57:00,C0127,P028,PAY000178,Mobile App,Bank Transfer,4,299.0,0.0,1196.0
ORD000180,2026-01-06 14:27:00,C0026,P021,PAY000180,Marketplace,Bank Transfer,1,23310.0,0.0,23310.0
ORD000181,2026-01-17 22:36:00,C0078,P007,PAY000181,Mobile App,PromptPay,1,25900.0,0.0,25900.0
ORD000182,2026-01-19 01:42:00,C0135,P025,PAY000182,Mobile App,Credit Card,1,23310.0,0.0,23310.0
ORD000183,2026-01-11 14:35:00,C0044,P038,PAY000183,Web,PromptPay,3,11610.0,0.0,34830.0
ORD000184,2026-01-17 11:36:00,C0154,P019,PAY000184,Web,PromptPay,4,3790.5,0.0,15162.0
ORD000185,2026-01-08 11:35:00,C0140,P028,PAY000185,Mobile App,Credit Card,4,269.1,0.1,968.76
ORD000187,2026-01-22 17:38:00,C0092,P039,PAY000187,Marketplace,Credit Card,2,990.0,0.0,1980.0
ORD000188,2026-01-22 03:20:00,C0047,P031,PAY000188,Marketplace,Credit Card,4,1490.0,0.05,5662.0
ORD000190,2026-01-28 04:14:00,C0129,P025,PAY000190,Marketplace,PromptPay,4,27195.0,0.0,108780.0
ORD000191,2026-01-17 08:52:00,C0011,P023,PAY000191,Mobile App,PromptPay,1,299.0,0.0,299.0
ORD000192,2026-01-13 01:30:00,C0101,P039,PAY000192,Web,Bank Transfer,1,1039.5,0.0,1039.5
ORD000193,2026-01-18 00:15:00,C0052,P005,PAY000193,Mobile App,Credit Card,2,299.0,0.1,538.2
ORD000194,2026-01-22 00:46:00,C0113,P001,PAY000194,Marketplace,Bank Transfer,1,299.0,0.1,269.1
ORD000195,2026-01-11 22:27:00,C0094,P014,PAY000195,Mobile App,Bank Transfer,2,990.0,0.0,1980.0
ORD000196,2026-01-20 08:53:00,C0132,P007,PAY000196,Web,PromptPay,1,25900.0,0.1,23310.0
ORD000197,2026-01-06 22:25:00,C0099,P002,PAY000197,Web,Credit Card,1,1415.5,0.05,1344.72
ORD000198,2026-01-22 16:13:00,C0040,P012,PAY000198,Marketplace,Bank Transfer,4,990.0,0.1,3564.0
ORD000200,2026-01-01 14:06:00,C0097,P004,PAY000200,Mobile App,PromptPay,2,1341.0,0.0,2682.0
ORD000201,2026-01-22 12:04:00,C0059,P022,PAY000201,Marketplace,PromptPay,4,449.1,0.0,1796.4
ORD000202,2026-01-04 08:21:00,C0019,P027,PAY000202,Web,PromptPay,2,23310.0,0.05,44289.0
ORD000203,2026-01-12 15:24:00,C0083,P025,PAY000203,Mobile App,Credit Card,1,25900.0,0.0,25900.0
ORD000204,2026-01-06 00:39:00,C0131,P036,PAY000204,Mobile App,Credit Card,2,313.95,0.0,627.9
ORD000206,2026-01-06 21:44:00,C0008,P023,PAY000206,Web,PromptPay,4,269.1,0.0,1076.4
ORD000207,2026-01-11 04:13:00,C0052,P001,PAY000207,Marketplace,PromptPay,1,313.95,0.0,313.95
ORD000208,2026-01-25 17:56:00,C0024,P037,PAY000208,Web,PromptPay,4,23310.0,0.1,83916.0
ORD000209,2026-01-14 02:39:00,C0067,P006,PAY000209,Marketplace,PromptPay,1,284.05,0.0,284.05
ORD000210,2026-01-26 09:51:00,C0013,P009,PAY000210,Mobile App,Credit Card,1,299.0,0.0,299.0
ORD000211,2026-01-24 08:11:00,C0066,P022,PAY000211,Web,Credit Card,2,499.0,0.05,948.1
ORD000212,2026-01-10 23:01:00,C0071,P001,PAY000212,Marketplace,Credit Card,2,284.05,0.1,511.29
ORD000213,2026-01-17 11:40:00,C0025,P021,PAY000213,Marketplace,PromptPay,1,25900.0,0.0,25900.0
ORD000214,2026-01-09 14:42:00,C0014,P019,PAY000214,Web,Credit Card,2,3990.0,0.0,7980.0
ORD000215,2026-01-21 10:20:00,C0040,P036,PAY000215,Web,PromptPay,2,299.0,0.05,568.1
ORD000216,2026-01-28 05:31:00,C0024,P033,PAY000216,Marketplace,Credit Card,1,12255.0,0.0,12255.0
ORD000218,2026-01-01 18:45:00,C0072,P020,PAY000218,Mobile App,Bank Transfer,3,474.05,0.1,1279.94
ORD000219,2026-01-10 09:38:00,C0081,P021,PAY000219,Web,Bank Transfer,1,27195.0,0.0,27195.0
ORD000220,2026-01-12 20:20:00,C0135,P037,PAY000220,Marketplace,Credit Card,1,24605.0,0.0,24605.0
ORD000221,2026-01-25 21:10:00,C0157,P008,PAY000221,Marketplace,Credit Card,4,523.95,0.05,1991.01
ORD000222,2026-01-23 20:37:00,C0109,P027,PAY000222,Mobile App,Credit Card,1,24605.0,0.1,22144.5
ORD000223,2026-01-17 01:11:00,C0051,P014,PAY000223,Marketplace,PromptPay,2,940.5,0.0,1881.0
ORD000224,2026-01-14 21:18:00,C0012,P031,PAY000224,Web,PromptPay,1,1490.0,0.0,1490.0
ORD000225,2026-01-16 05:19:00,C0135,P025,PAY000225,Mobile App,PromptPay,1,23310.0,0.05,22144.5
ORD000226,2026-01-08 17:35:00,C0064,P003,PAY000226,Mobile App,Credit Card,3,23310.0,0.0,69930.0
ORD000227,2026-01-02 17:13:00,C0007,P016,PAY000227,Marketplace,Bank Transfer,1,1490.0,0.0,1490.0
ORD000228,2026-01-17 20:14:00,C0053,P028,PAY000228,Web,Credit Card,3,299.0,0.0,897.0
ORD000229,2026-01-08 13:18:00,C0008,P017,PAY000229,Mobile App,Bank Transfer,2,940.5,0.0,1881.0
ORD000230,2026-01-19 20:00:00,C0160,P015,PAY000230,Web,PromptPay,4,299.0,0.1,1076.4
ORD000231,2026-01-11 10:24:00,C0033,P038,PAY000231,Web,Credit Card,1,12900.0,0.0,12900.0
ORD000232,2026-01-08 03:01:00,C0004,P008,PAY000232,Marketplace,PromptPay,1,499.0,0.05,474.05
ORD000233,2026-01-18 08:14:00,C0085,P007,PAY000233,Marketplace,PromptPay,2,25900.0,0.0,51800.0
ORD000234,2026-01-06 03:24:00,C0025,P026,PAY000234,Marketplace,Bank Transfer,2,12900.0,0.0,25800.0
ORD000235,2026-01-12 09:30:00,C0087,P030,PAY000235,Marketplace,PromptPay,3,499.0,0.0,1497.0
ORD000236,2026-01-19 05:22:00,C0068,P027,PAY000236,Marketplace,Bank Transfer,1,23310.0,0.05,22144.5
ORD000237,2026-01-17 04:02:00,C0020,P030,PAY000237,Web,Bank Transfer,3,523.95,0.1,1414.67
ORD000238,2026-01-10 23:15:00,C0140,P034,PAY000238,Marketplace,Bank Transfer,2,313.95,0.0,627.9
ORD000239,2026-01-27 08:24:00,C0044,P004,PAY000239,Marketplace,Credit Card,2,1490.0,0.0,2980.0
ORD000240,2026-01-01 04:54:00,C0091,P018,PAY000240,Mobile App,PromptPay,1,3990.0,0.0,3990.0
ORD000241,2026-01-24 06:52:00,C0003,P026,PAY000241,Web,Credit Card,3,12255.0,0.0,36765.0
ORD000242,2026-01-08 00:54:00,C0106,P016,PAY000242,Web,Credit Card,2,1490.0,0.0,2980.0
ORD000243,2026-01-19 16:38:00,C0129,P013,PAY000243,Mobile App,Bank Transfer,3,499.0,0.1,1347.3
ORD000244,2026-01-16 14:15:00,C0153,P029,PAY000244,Web,PromptPay,2,3990.0,0.05,7581.0
ORD000245,2026-01-11 05:18:00,C0058,P031,PAY000245,Web,Credit Card,1,1415.5,0.1,1273.95
ORD000246,2026-01-12 03:50:00,C0107,P028,PAY000246,Mobile App,Bank Transfer,1,269.1,0.05,255.64
ORD000247,2026-01-20 00:13:00,C0025,P029,PAY000247,Web,PromptPay,2,4189.5,0.05,7960.05
ORD000248,2026-01-14 08:37:00,C0144,P009,PAY000248,Mobile App,PromptPay,1,284.05,0.0,284.05
ORD000249,2026-01-04 01:05:00,C0121,P008,PAY000249,Web,Credit Card,3,499.0,0.0,1497.0
ORD000250,2026-01-20 22:06:00,C0160,P039,PAY000250,Web,Credit Card,3,891.0,0.05,2539.35
ORD000251,2026-01-10 23:16:00,C0014,P010,PAY000251,Web,Bank Transfer,3,891.0,0.1,2405.7
ORD000252,2026-01-12 07:49:00,C0068,P020,PAY000252,Web,Credit Card,1,449.1,0.1,404.19
ORD000253,2026-01-05 12:14:00,C0139,P029,PAY000253,Marketplace,Bank Transfer,4,3990.0,0.1,14364.0
ORD000254,2026-01-02 14:40:00,C0030,P012,PAY000254,Mobile App,Bank Transfer,2,990.0,0.0,1980.0
ORD000255,2026-01-26 05:45:00,C0090,P010,PAY000255,Mobile App,PromptPay,2,940.5,0.0,1881.0
ORD000257,2026-01-15 04:48:00,C0016,P014,PAY000257,Mobile App,Credit Card,1,990.0,0.05,940.5
ORD000258,2026-01-02 00:35:00,C0050,P002,PAY000258,Web,PromptPay,4,1490.0,0.0,5960.0
ORD000259,2026-01-18 01:24:00,C0102,P039,PAY000259,Marketplace,PromptPay,3,1039.5,0.1,2806.65
ORD000260,2026-01-06 12:56:00,C0151,P029,PAY000260,Marketplace,Bank Transfer,4,4189.5,0.1,15082.2
ORD000261,2026-01-19 00:17:00,C0037,P032,PAY000261,Web,Credit Card,1,25900.0,0.0,25900.0
ORD000263,2026-01-21 09:23:00,C0019,P019,PAY000263,Mobile App,Bank Transfer,2,3990.0,0.1,7182.0
