quarantine_key,order_id,source_batch,reason_code,raw_payload,loaded_at
1,O000083,orders_batch_1,customer_id_not_found,order_id=O000083; order_datetime=2026-02-05 11:37:00; customer_id=nan; product_id=P039; quantity=4; unit_price=688.83; discount_pct=5; payment_method=Cash; sales_channel=Online; updated_at=2026-02-06 23:59:00,2026-08-18T05:31:18.319739
12,O000194,orders_batch_1,invalid_order_datetime,order_id=O000194; order_datetime=31/02/2026 10:00; customer_id=C0075; product_id=P003; quantity=3; unit_price=344.85; discount_pct=10; payment_method=Cash; sales_channel=Online; updated_at=2026-03-20 23:59:00,2026-08-18T05:31:18.319739
13,O000202,orders_batch_1,discount_pct_out_of_range,order_id=O000202; order_datetime=2026-01-15 10:38:00; customer_id=C0161; product_id=P031; quantity=3; unit_price=599.9; discount_pct=120; payment_method=Credit Card; sales_channel=Online; updated_at=2026-01-16 23:59:00,2026-08-18T05:31:18.319739
14,O000214,orders_batch_1,product_id_not_found,order_id=O000214; order_datetime=2026-01-04 07:12:00; customer_id=C0043; product_id=P999; quantity=6; unit_price=1451.77; discount_pct=0; payment_method=PromptPay; sales_channel=Store; updated_at=2026-01-05 23:59:00,2026-08-18T05:31:18.319739
15,O000226,orders_batch_1,invalid_quantity_type,order_id=O000226; order_datetime=2026-03-21 10:12:00; customer_id=C0153; product_id=P017; quantity=three; unit_price=1281.37; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-03-22 23:59:00,2026-08-18T05:31:18.319739
16,O000249,orders_batch_1,customer_id_not_found,order_id=O000249; order_datetime=2026-02-07 21:50:00; customer_id=nan; product_id=P025; quantity=5; unit_price=833.67; discount_pct=15; payment_method=Credit Card; sales_channel=Online; updated_at=2026-02-08 23:59:00,2026-08-18T05:31:18.319739
17,O000262,orders_batch_1,invalid_order_datetime,order_id=O000262; order_datetime=not-a-date; customer_id=C0097; product_id=P044; quantity=5; unit_price=766; discount_pct=0; payment_method=Credit Card; sales_channel=Store; updated_at=2026-02-03 23:59:00,2026-08-18T05:31:18.319739
18,O000267,orders_batch_1,quantity_out_of_range,order_id=O000267; order_datetime=2026-01-02 16:42:00; customer_id=C0095; product_id=P042; quantity=-2; unit_price=733.19; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-03 23:59:00,2026-08-18T05:31:18.319739
19,O000278,orders_batch_1,invalid_unit_price_type,order_id=O000278; order_datetime=2026-02-01 02:14:00; customer_id=C0022; product_id=P035; quantity=4; unit_price=nan; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-02-02 23:59:00,2026-08-18T05:31:18.319739
20,O000291,orders_batch_1,invalid_order_datetime,order_id=O000291; order_datetime=31/02/2026 10:00; customer_id=C0165; product_id=P041; quantity=2; unit_price=1291.92; discount_pct=0; payment_method=Cash; sales_channel=Online; updated_at=2026-01-06 23:59:00,2026-08-18T05:31:18.319739
21,O000298,orders_batch_1,customer_id_not_found,order_id=O000298; order_datetime=2026-01-14 00:46:00; customer_id=C9999; product_id=P037; quantity=2; unit_price=185.91; discount_pct=10; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-01-15 23:59:00,2026-08-18T05:31:18.319739
22,O000303,orders_batch_1,discount_pct_out_of_range,order_id=O000303; order_datetime=2026-03-02 22:11:00; customer_id=C0137; product_id=P007; quantity=4; unit_price=619.54; discount_pct=120; payment_method=PromptPay; sales_channel=Online; updated_at=2026-03-03 23:59:00,2026-08-18T05:31:18.319739
23,O000321,orders_batch_1,product_id_not_found,order_id=O000321; order_datetime=2026-01-12 07:42:00; customer_id=C0073; product_id=P999; quantity=5; unit_price=624.66; discount_pct=10; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-01-13 23:59:00,2026-08-18T05:31:18.319739
24,O000332,orders_batch_1,customer_id_not_found,order_id=O000332; order_datetime=2026-02-18 19:38:00; customer_id=nan; product_id=P017; quantity=4; unit_price=1281.37; discount_pct=0; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-19 23:59:00,2026-08-18T05:31:18.319739
25,O000339,orders_batch_1,invalid_quantity_type,order_id=O000339; order_datetime=2026-03-15 12:23:00; customer_id=C0146; product_id=P014; quantity=three; unit_price=358.74; discount_pct=0; payment_method=Credit Card; sales_channel=Online; updated_at=2026-03-16 23:59:00,2026-08-18T05:31:18.319739
26,O000356,orders_batch_1,quantity_out_of_range,order_id=O000356; order_datetime=2026-01-19 11:29:00; customer_id=C0146; product_id=P042; quantity=-2; unit_price=733.19; discount_pct=0; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-01-20 23:59:00,2026-08-18T05:31:18.319739
27,O000388,orders_batch_1,invalid_order_datetime,order_id=O000388; order_datetime=31/02/2026 10:00; customer_id=C0086; product_id=P027; quantity=1; unit_price=817.79; discount_pct=15; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-01-25 23:59:00,2026-08-18T05:31:18.319739
28,O000393,orders_batch_1,invalid_order_datetime,order_id=O000393; order_datetime=not-a-date; customer_id=C0148; product_id=P037; quantity=5; unit_price=185.91; discount_pct=10; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-02-25 23:59:00,2026-08-18T05:31:18.319739
29,O000404,orders_batch_1,discount_pct_out_of_range,order_id=O000404; order_datetime=2026-01-30 04:14:00; customer_id=C0163; product_id=P016; quantity=5; unit_price=878.59; discount_pct=120; payment_method=Credit Card; sales_channel=Store; updated_at=2026-01-31 23:59:00,2026-08-18T05:31:18.319739
30,O000415,orders_batch_1,customer_id_not_found,order_id=O000415; order_datetime=2026-01-12 21:48:00; customer_id=nan; product_id=P030; quantity=1; unit_price=915.53; discount_pct=10; payment_method=Credit Card; sales_channel=Marketplace; updated_at=2026-01-13 23:59:00,2026-08-18T05:31:18.319739
31,O000417,orders_batch_1,invalid_unit_price_type,order_id=O000417; order_datetime=2026-02-09 22:58:00; customer_id=C0021; product_id=P011; quantity=3; unit_price=nan; discount_pct=0; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-10 23:59:00,2026-08-18T05:31:18.319739
32,O000083,orders_batch_1,customer_id_not_found,order_id=O000083; order_datetime=2026-02-05 11:37:00; customer_id=nan; product_id=P039; quantity=4; unit_price=688.83; discount_pct=5; payment_method=Cash; sales_channel=Online; updated_at=2026-02-06 23:59:00,2026-08-18T05:31:18.480515
33,O000089,orders_batch_1,quantity_out_of_range,order_id=O000089; order_datetime=2026-03-04 08:25:00; customer_id=C0030; product_id=P035; quantity=-2; unit_price=997.99; discount_pct=10; payment_method=Credit Card; sales_channel=Online; updated_at=2026-03-05 23:59:00,2026-08-18T05:31:18.480515
34,O000097,orders_batch_1,invalid_order_datetime,order_id=O000097; order_datetime=31/02/2026 10:00; customer_id=C0110; product_id=P040; quantity=5; unit_price=1472.44; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-03-03 23:59:00,2026-08-18T05:31:18.480515
35,O000101,orders_batch_1,discount_pct_out_of_range,order_id=O000101; order_datetime=2026-02-28 22:40:00; customer_id=C0151; product_id=P029; quantity=3; unit_price=450.41; discount_pct=120; payment_method=Credit Card; sales_channel=Store; updated_at=2026-03-01 23:59:00,2026-08-18T05:31:18.480515
36,O000107,orders_batch_1,product_id_not_found,order_id=O000107; order_datetime=2026-03-03 15:13:00; customer_id=C0130; product_id=P999; quantity=1; unit_price=766; discount_pct=15; payment_method=PromptPay; sales_channel=Store; updated_at=2026-03-04 23:59:00,2026-08-18T05:31:18.480515
37,O000113,orders_batch_1,invalid_quantity_type,order_id=O000113; order_datetime=2026-01-03 03:35:00; customer_id=C0039; product_id=P011; quantity=three; unit_price=616.6; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-04 23:59:00,2026-08-18T05:31:18.480515
38,O000131,orders_batch_1,invalid_order_datetime,order_id=O000131; order_datetime=not-a-date; customer_id=C0152; product_id=P037; quantity=1; unit_price=185.91; discount_pct=5; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-17 23:59:00,2026-08-18T05:31:18.480515
39,O000139,orders_batch_1,invalid_unit_price_type,order_id=O000139; order_datetime=2026-02-03 21:12:00; customer_id=C0072; product_id=P039; quantity=4; unit_price=nan; discount_pct=5; payment_method=Cash; sales_channel=Online; updated_at=2026-02-04 23:59:00,2026-08-18T05:31:18.480515
40,O000149,orders_batch_1,customer_id_not_found,order_id=O000149; order_datetime=2026-01-08 12:33:00; customer_id=C9999; product_id=P039; quantity=4; unit_price=688.83; discount_pct=10; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-09 23:59:00,2026-08-18T05:31:18.480515
41,O000166,orders_batch_1,customer_id_not_found,order_id=O000166; order_datetime=2026-01-18 04:01:00; customer_id=nan; product_id=P027; quantity=4; unit_price=817.79; discount_pct=10; payment_method=PromptPay; sales_channel=Online; updated_at=2026-01-19 23:59:00,2026-08-18T05:31:18.480515
42,O000178,orders_batch_1,quantity_out_of_range,order_id=O000178; order_datetime=2026-02-16 01:47:00; customer_id=C0061; product_id=P026; quantity=-2; unit_price=1185.43; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-02-17 23:59:00,2026-08-18T05:31:18.480515
43,O000194,orders_batch_1,invalid_order_datetime,order_id=O000194; order_datetime=31/02/2026 10:00; customer_id=C0075; product_id=P003; quantity=3; unit_price=344.85; discount_pct=10; payment_method=Cash; sales_channel=Online; updated_at=2026-03-20 23:59:00,2026-08-18T05:31:18.480515
44,O000202,orders_batch_1,discount_pct_out_of_range,order_id=O000202; order_datetime=2026-01-15 10:38:00; customer_id=C0161; product_id=P031; quantity=3; unit_price=599.9; discount_pct=120; payment_method=Credit Card; sales_channel=Online; updated_at=2026-01-16 23:59:00,2026-08-18T05:31:18.480515
45,O000214,orders_batch_1,product_id_not_found,order_id=O000214; order_datetime=2026-01-04 07:12:00; customer_id=C0043; product_id=P999; quantity=6; unit_price=1451.77; discount_pct=0; payment_method=PromptPay; sales_channel=Store; updated_at=2026-01-05 23:59:00,2026-08-18T05:31:18.480515
46,O000226,orders_batch_1,invalid_quantity_type,order_id=O000226; order_datetime=2026-03-21 10:12:00; customer_id=C0153; product_id=P017; quantity=three; unit_price=1281.37; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-03-22 23:59:00,2026-08-18T05:31:18.480515
47,O000249,orders_batch_1,customer_id_not_found,order_id=O000249; order_datetime=2026-02-07 21:50:00; customer_id=nan; product_id=P025; quantity=5; unit_price=833.67; discount_pct=15; payment_method=Credit Card; sales_channel=Online; updated_at=2026-02-08 23:59:00,2026-08-18T05:31:18.480515
48,O000262,orders_batch_1,invalid_order_datetime,order_id=O000262; order_datetime=not-a-date; customer_id=C0097; product_id=P044; quantity=5; unit_price=766; discount_pct=0; payment_method=Credit Card; sales_channel=Store; updated_at=2026-02-03 23:59:00,2026-08-18T05:31:18.480515
49,O000267,orders_batch_1,quantity_out_of_range,order_id=O000267; order_datetime=2026-01-02 16:42:00; customer_id=C0095; product_id=P042; quantity=-2; unit_price=733.19; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-03 23:59:00,2026-08-18T05:31:18.480515
50,O000278,orders_batch_1,invalid_unit_price_type,order_id=O000278; order_datetime=2026-02-01 02:14:00; customer_id=C0022; product_id=P035; quantity=4; unit_price=nan; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-02-02 23:59:00,2026-08-18T05:31:18.480515
51,O000291,orders_batch_1,invalid_order_datetime,order_id=O000291; order_datetime=31/02/2026 10:00; customer_id=C0165; product_id=P041; quantity=2; unit_price=1291.92; discount_pct=0; payment_method=Cash; sales_channel=Online; updated_at=2026-01-06 23:59:00,2026-08-18T05:31:18.480515
52,O000298,orders_batch_1,customer_id_not_found,order_id=O000298; order_datetime=2026-01-14 00:46:00; customer_id=C9999; product_id=P037; quantity=2; unit_price=185.91; discount_pct=10; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-01-15 23:59:00,2026-08-18T05:31:18.480515
53,O000303,orders_batch_1,discount_pct_out_of_range,order_id=O000303; order_datetime=2026-03-02 22:11:00; customer_id=C0137; product_id=P007; quantity=4; unit_price=619.54; discount_pct=120; payment_method=PromptPay; sales_channel=Online; updated_at=2026-03-03 23:59:00,2026-08-18T05:31:18.480515
54,O000321,orders_batch_1,product_id_not_found,order_id=O000321; order_datetime=2026-01-12 07:42:00; customer_id=C0073; product_id=P999; quantity=5; unit_price=624.66; discount_pct=10; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-01-13 23:59:00,2026-08-18T05:31:18.480515
55,O000332,orders_batch_1,customer_id_not_found,order_id=O000332; order_datetime=2026-02-18 19:38:00; customer_id=nan; product_id=P017; quantity=4; unit_price=1281.37; discount_pct=0; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-19 23:59:00,2026-08-18T05:31:18.480515
56,O000339,orders_batch_1,invalid_quantity_type,order_id=O000339; order_datetime=2026-03-15 12:23:00; customer_id=C0146; product_id=P014; quantity=three; unit_price=358.74; discount_pct=0; payment_method=Credit Card; sales_channel=Online; updated_at=2026-03-16 23:59:00,2026-08-18T05:31:18.480515
57,O000356,orders_batch_1,quantity_out_of_range,order_id=O000356; order_datetime=2026-01-19 11:29:00; customer_id=C0146; product_id=P042; quantity=-2; unit_price=733.19; discount_pct=0; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-01-20 23:59:00,2026-08-18T05:31:18.480515
58,O000388,orders_batch_1,invalid_order_datetime,order_id=O000388; order_datetime=31/02/2026 10:00; customer_id=C0086; product_id=P027; quantity=1; unit_price=817.79; discount_pct=15; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-01-25 23:59:00,2026-08-18T05:31:18.480515
59,O000393,orders_batch_1,invalid_order_datetime,order_id=O000393; order_datetime=not-a-date; customer_id=C0148; product_id=P037; quantity=5; unit_price=185.91; discount_pct=10; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-02-25 23:59:00,2026-08-18T05:31:18.480515
60,O000404,orders_batch_1,discount_pct_out_of_range,order_id=O000404; order_datetime=2026-01-30 04:14:00; customer_id=C0163; product_id=P016; quantity=5; unit_price=878.59; discount_pct=120; payment_method=Credit Card; sales_channel=Store; updated_at=2026-01-31 23:59:00,2026-08-18T05:31:18.480515
61,O000415,orders_batch_1,customer_id_not_found,order_id=O000415; order_datetime=2026-01-12 21:48:00; customer_id=nan; product_id=P030; quantity=1; unit_price=915.53; discount_pct=10; payment_method=Credit Card; sales_channel=Marketplace; updated_at=2026-01-13 23:59:00,2026-08-18T05:31:18.480515
62,O000417,orders_batch_1,invalid_unit_price_type,order_id=O000417; order_datetime=2026-02-09 22:58:00; customer_id=C0021; product_id=P011; quantity=3; unit_price=nan; discount_pct=0; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-10 23:59:00,2026-08-18T05:31:18.480515
63,O000428,orders_batch_2,product_id_not_found,order_id=O000428; order_datetime=2026-04-04 13:52:00; customer_id=C0150; product_id=P999; quantity=4; unit_price=450.41; discount_pct=15; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-04-06 23:59:00,2026-08-18T05:31:18.546773
64,O000445,orders_batch_2,quantity_out_of_range,order_id=O000445; order_datetime=2026-03-24 01:46:00; customer_id=C0015; product_id=P039; quantity=-2; unit_price=688.83; discount_pct=0; payment_method=PromptPay; sales_channel=Store; updated_at=2026-03-26 23:59:00,2026-08-18T05:31:18.546773
65,O000447,orders_batch_2,customer_id_not_found,order_id=O000447; order_datetime=2026-02-16 15:50:00; customer_id=C9999; product_id=P001; quantity=4; unit_price=29.67; discount_pct=5; payment_method=PromptPay; sales_channel=Online; updated_at=2026-02-18 23:59:00,2026-08-18T05:31:18.546773
66,O000452,orders_batch_2,invalid_quantity_type,order_id=O000452; order_datetime=2026-04-05 15:06:00; customer_id=C0126; product_id=P036; quantity=three; unit_price=220.86; discount_pct=0; payment_method=Credit Card; sales_channel=Store; updated_at=2026-04-07 23:59:00,2026-08-18T05:31:18.546773
67,O000485,orders_batch_2,invalid_order_datetime,order_id=O000485; order_datetime=31/02/2026 10:00; customer_id=C0077; product_id=P010; quantity=4; unit_price=1366.97; discount_pct=5; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-05-05 23:59:00,2026-08-18T05:31:18.546773
68,O000498,orders_batch_2,customer_id_not_found,order_id=O000498; order_datetime=2026-04-30 23:16:00; customer_id=nan; product_id=P035; quantity=3; unit_price=997.99; discount_pct=0; payment_method=Credit Card; sales_channel=Marketplace; updated_at=2026-05-02 23:59:00,2026-08-18T05:31:18.546773
69,O000505,orders_batch_2,discount_pct_out_of_range,order_id=O000505; order_datetime=2026-03-25 23:29:00; customer_id=C0154; product_id=P009; quantity=4; unit_price=192.56; discount_pct=120; payment_method=Cash; sales_channel=Marketplace; updated_at=2026-03-27 23:59:00,2026-08-18T05:31:18.546773
70,O000524,orders_batch_2,invalid_order_datetime,order_id=O000524; order_datetime=not-a-date; customer_id=C0075; product_id=P009; quantity=3; unit_price=192.56; discount_pct=0; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-03-08 23:59:00,2026-08-18T05:31:18.546773
71,O000534,orders_batch_2,quantity_out_of_range,order_id=O000534; order_datetime=2026-03-22 19:50:00; customer_id=C0044; product_id=P004; quantity=-2; unit_price=1451.77; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-03-24 23:59:00,2026-08-18T05:31:18.546773
72,O000535,orders_batch_2,product_id_not_found,order_id=O000535; order_datetime=2026-04-17 04:13:00; customer_id=C0100; product_id=P999; quantity=5; unit_price=649.9; discount_pct=15; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-04-19 23:59:00,2026-08-18T05:31:18.546773
73,O000556,orders_batch_2,invalid_unit_price_type,order_id=O000556; order_datetime=2026-04-21 06:20:00; customer_id=C0177; product_id=P001; quantity=6; unit_price=nan; discount_pct=0; payment_method=PromptPay; sales_channel=Store; updated_at=2026-04-23 23:59:00,2026-08-18T05:31:18.546773
74,O000565,orders_batch_2,invalid_quantity_type,order_id=O000565; order_datetime=2026-04-14 04:24:00; customer_id=C0009; product_id=P033; quantity=three; unit_price=654.4; discount_pct=5; payment_method=Cash; sales_channel=Marketplace; updated_at=2026-04-16 23:59:00,2026-08-18T05:31:18.546773
75,O000581,orders_batch_2,customer_id_not_found,order_id=O000581; order_datetime=2026-04-23 12:25:00; customer_id=nan; product_id=P010; quantity=3; unit_price=1366.97; discount_pct=15; payment_method=Credit Card; sales_channel=Online; updated_at=2026-04-25 23:59:00,2026-08-18T05:31:18.546773
76,O000582,orders_batch_2,invalid_order_datetime,order_id=O000582; order_datetime=31/02/2026 10:00; customer_id=C0140; product_id=P009; quantity=4; unit_price=192.56; discount_pct=0; payment_method=PromptPay; sales_channel=Online; updated_at=2026-04-22 23:59:00,2026-08-18T05:31:18.546773
77,O000596,orders_batch_2,customer_id_not_found,order_id=O000596; order_datetime=2026-03-31 05:33:00; customer_id=C9999; product_id=P036; quantity=5; unit_price=220.86; discount_pct=0; payment_method=Cash; sales_channel=Online; updated_at=2026-04-02 23:59:00,2026-08-18T05:31:18.546773
78,O000606,orders_batch_2,discount_pct_out_of_range,order_id=O000606; order_datetime=2026-03-22 11:21:00; customer_id=C0125; product_id=P042; quantity=6; unit_price=733.19; discount_pct=120; payment_method=Credit Card; sales_channel=Store; updated_at=2026-03-24 23:59:00,2026-08-18T05:31:18.546773
79,O000623,orders_batch_2,quantity_out_of_range,order_id=O000623; order_datetime=2026-02-16 02:04:00; customer_id=C0086; product_id=P041; quantity=-2; unit_price=1291.92; discount_pct=15; payment_method=Credit Card; sales_channel=Online; updated_at=2026-02-18 23:59:00,2026-08-18T05:31:18.546773
80,O000642,orders_batch_2,product_id_not_found,order_id=O000642; order_datetime=2026-02-17 10:10:00; customer_id=C0018; product_id=P999; quantity=5; unit_price=979.4; discount_pct=5; payment_method=Credit Card; sales_channel=Online; updated_at=2026-02-19 23:59:00,2026-08-18T05:31:18.546773
81,O000655,orders_batch_2,invalid_order_datetime,order_id=O000655; order_datetime=not-a-date; customer_id=C0147; product_id=P037; quantity=3; unit_price=185.91; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-04-24 23:59:00,2026-08-18T05:31:18.546773
82,O000664,orders_batch_2,customer_id_not_found,order_id=O000664; order_datetime=2026-04-11 00:34:00; customer_id=nan; product_id=P004; quantity=3; unit_price=1451.77; discount_pct=15; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-04-13 23:59:00,2026-08-18T05:31:18.546773
83,O000678,orders_batch_2,invalid_quantity_type,order_id=O000678; order_datetime=2026-02-16 02:58:00; customer_id=C0137; product_id=P046; quantity=three; unit_price=187.09; discount_pct=0; payment_method=PromptPay; sales_channel=Store; updated_at=2026-02-18 23:59:00,2026-08-18T05:31:18.546773
84,O000679,orders_batch_2,invalid_order_datetime,order_id=O000679; order_datetime=31/02/2026 10:00; customer_id=C0075; product_id=P040; quantity=2; unit_price=1472.44; discount_pct=0; payment_method=PromptPay; sales_channel=Online; updated_at=2026-04-04 23:59:00,2026-08-18T05:31:18.546773
85,O000695,orders_batch_2,invalid_unit_price_type,order_id=O000695; order_datetime=2026-04-06 11:55:00; customer_id=C0119; product_id=P017; quantity=3; unit_price=nan; discount_pct=15; payment_method=Cash; sales_channel=Marketplace; updated_at=2026-04-08 23:59:00,2026-08-18T05:31:18.546773
86,O000707,orders_batch_2,discount_pct_out_of_range,order_id=O000707; order_datetime=2026-03-02 09:06:00; customer_id=C0079; product_id=P044; quantity=2; unit_price=766; discount_pct=120; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-03-04 23:59:00,2026-08-18T05:31:18.546773
87,O000712,orders_batch_2,quantity_out_of_range,order_id=O000712; order_datetime=2026-02-15 22:17:00; customer_id=C0026; product_id=P040; quantity=-2; unit_price=1472.44; discount_pct=10; payment_method=Bank Transfer; sales_channel=Store; updated_at=2026-02-17 23:59:00,2026-08-18T05:31:18.546773
88,O000745,orders_batch_2,customer_id_not_found,order_id=O000745; order_datetime=2026-02-22 01:04:00; customer_id=C9999; product_id=P021; quantity=1; unit_price=1114.51; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-02-24 23:59:00,2026-08-18T05:31:18.546773
89,O000747,orders_batch_2,customer_id_not_found,order_id=O000747; order_datetime=2026-04-07 20:13:00; customer_id=nan; product_id=P014; quantity=1; unit_price=358.74; discount_pct=0; payment_method=Credit Card; sales_channel=Store; updated_at=2026-04-09 23:59:00,2026-08-18T05:31:18.546773
90,O000749,orders_batch_2,product_id_not_found,order_id=O000749; order_datetime=2026-04-18 13:19:00; customer_id=C0180; product_id=P999; quantity=1; unit_price=204.81; discount_pct=0; payment_method=Cash; sales_channel=Online; updated_at=2026-04-20 23:59:00,2026-08-18T05:31:18.546773
91,O000776,orders_batch_2,invalid_order_datetime,order_id=O000776; order_datetime=31/02/2026 10:00; customer_id=C0120; product_id=P047; quantity=2; unit_price=613.02; discount_pct=0; payment_method=Cash; sales_channel=Online; updated_at=2026-04-29 23:59:00,2026-08-18T05:31:18.546773
92,O000786,orders_batch_2,invalid_order_datetime,order_id=O000786; order_datetime=not-a-date; customer_id=C0044; product_id=P008; quantity=6; unit_price=292.37; discount_pct=5; payment_method=Cash; sales_channel=Marketplace; updated_at=2026-04-09 23:59:00,2026-08-18T05:31:18.546773
93,O000791,orders_batch_2,invalid_quantity_type,order_id=O000791; order_datetime=2026-04-11 13:31:00; customer_id=C0058; product_id=P040; quantity=three; unit_price=1472.44; discount_pct=0; payment_method=Credit Card; sales_channel=Store; updated_at=2026-04-13 23:59:00,2026-08-18T05:31:18.546773
94,O000801,orders_batch_2,quantity_out_of_range,order_id=O000801; order_datetime=2026-04-05 07:59:00; customer_id=C0030; product_id=P044; quantity=-2; unit_price=766; discount_pct=0; payment_method=Credit Card; sales_channel=Marketplace; updated_at=2026-04-07 23:59:00,2026-08-18T05:31:18.546773
95,O000808,orders_batch_2,discount_pct_out_of_range,order_id=O000808; order_datetime=2026-02-20 13:39:00; customer_id=C0168; product_id=P008; quantity=5; unit_price=292.37; discount_pct=120; payment_method=Cash; sales_channel=Store; updated_at=2026-02-22 23:59:00,2026-08-18T05:31:18.546773
